Country,"Fertility rate, total (births per woman)",Current health expenditure per capita (current US$),Diabetes prevalence (% of population ages 20 to 79),Domestic general government health expenditure per capita (current US$),Domestic private health expenditure per capita (current US$),"GNI per capita, Atlas method (current US$)","Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, Hib3 (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Immunization, Pol3 (% of one-year-old children)","Incidence of tuberculosis (per 100,000 people)","Labor force, total",Net migration,Out-of-pocket expenditure per capita (current US$),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),Population growth (annual %),"Population, total",Prevalence of overweight (% of adults),Prevalence of hypertension (% of adults ages 30-79),Rural population,Sex ratio at birth (male births per female births),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Tuberculosis death rate (per 100,000 people)",Tuberculosis treatment success rate (% of new cases),"Unemployment, total (% of total labor force)",Urban population growth (annual %),Urban population
Equatorial Guinea,4.429,215.54243469,8.2,43.9841676,169.66716484,4740.0,62.0,62.0,62.0,51.0,63.0,286.0,714966.0,3891.0,164.61900705,,,2.40472649031131,1892516.0,37.73,38.1,475514.0,1.031,6.94,53.0,76.0,7.823,2.97529704287941,1417002.0
Germany,1.54,5488.53955078,7.8,4236.93291821,1251.60686936,54960.0,91.0,88.0,90.0,97.0,91.0,6.1,43772213.0,36954.0,726.02044273,99.9999995489977,99.2253840840528,-0.467077236996451,83510950.0,54.13,29.7,18460095.0,1.054,12.22,0.32,69.0,3.406,-0.300045080252953,65050855.0
Djibouti,2.798,68.27401733,6.5,36.38107497,20.42019334,3540.0,85.0,85.0,85.0,83.0,85.0,210.0,265171.0,-11.0,19.28325152,75.9957463626693,66.638239753157,1.3592172957681,1168722.0,27.49,34.2,248564.0,1.037,0.4,25.0,82.0,25.875,1.58803305903748,920158.0
Ukraine,1.218,242.81388855,6.0,108.75746001,132.40623271,5220.0,80.0,76.0,80.0,93.0,78.0,77.0,21427188.0,1146012.0,124.12383718,93.5115778266462,97.7415991917121,0.33702862573394,37860221.0,54.93,43.1,11250543.0,1.066,8.7,8.4,79.0,8.194,0.606302347210976,26609678.0
Costa Rica,1.6,930.43511963,9.8,674.89936683,255.52607567,15620.0,95.0,94.0,96.0,95.0,96.0,10.0,2357187.0,967.0,207.71559039,99.7975293659545,97.8532216953258,0.476482848761595,5129910.0,65.47,37.8,863518.0,1.043,3.45,0.77,,7.848,1.13393837175165,4266392.0
El Salvador,1.838,380.53384399,12.7,203.68691397,176.83615284,5120.0,96.0,96.0,96.0,96.0,97.0,60.0,2890348.0,-23102.0,143.35118291,97.8203480942147,86.8216058122908,0.451762522948611,6338193.0,64.98,32.7,1521420.0,1.048,3.28,0.97,90.0,2.839,1.24838310782066,4816773.0
South Africa,2.264,538.80426025,7.2,313.62231793,219.14482068,6100.0,85.0,85.0,85.0,83.0,85.0,615.0,27765994.0,166972.0,30.93337734,93.3882436903298,75.3796452913204,1.24951426055192,64007187.0,54.69,44.1,19651487.0,1.041,8.77,38.0,79.0,33.168,1.94312982083253,44355700.0
Portugal,1.44,2221.73120117,10.5,1350.26096116,869.82528714,26620.0,99.0,98.0,99.0,99.0,99.0,19.0,5464162.0,20648.0,680.01062296,99.2195941125794,99.6451165848976,1.16038052337763,10701636.0,54.6,32.3,3379256.0,1.05,10.45,1.8,71.0,6.384,1.91883573116931,7322380.0
Cote d'Ivoire,4.523,68.30471039,5.0,20.63144067,38.79444018,2510.0,79.0,79.0,79.0,71.0,79.0,137.0,12594667.0,7838.0,25.45065106,72.541058171011,34.7779674572536,2.43618201263834,31934230.0,32.63,37.3,14803432.0,1.03,2.8,21.0,84.0,2.288,3.36321639547342,17130798.0
Vanuatu,3.79,112.13746643,19.7,61.07442332,11.74514181,3940.0,90.0,90.0,90.0,80.0,90.0,41.0,118094.0,-43.0,8.58725213,90.0654259004521,48.3408689974498,2.27351944261437,327777.0,50.36,39.5,242073.0,1.07,1.87,5.4,85.0,5.064,2.93036541729069,85704.0
United States,1.706,10546.01367188,13.7,5470.11145508,5075.90192857,83660.0,94.0,91.0,91.0,90.0,93.0,2.9,174173594.0,1286132.0,1191.07644041,99.7446309234849,99.6844350554525,0.976421684505429,340110988.0,71.3,31.6,56067296.0,1.047,9.57,0.17,75.0,4.106,1.23659363787414,284043692.0
Bolivia,2.688,241.34619141,3.4,171.57260293,67.03740544,3690.0,75.0,75.0,75.0,79.0,75.0,106.0,6859259.0,-3000.0,57.9028079,92.5659538959925,63.8163098248026,1.37206798819615,12413315.0,62.26,28.3,3532209.0,1.042,4.1,10.0,83.0,3.091,1.87511109176737,8881106.0
Fiji,2.385,254.83047485,16.6,157.24529404,76.33595779,5680.0,97.0,97.0,97.0,96.0,97.0,66.0,387815.0,-3278.0,48.7976028,95.3833140482255,93.7099411678697,0.500721796949901,928784.0,64.1,38.6,379018.0,1.072,3.45,4.4,30.0,4.307,1.31332338557532,549766.0
Comoros,4.138,78.23674774,10.8,12.57189089,51.91858188,1690.0,78.0,78.0,78.0,76.0,71.0,35.0,276379.0,-2051.0,48.37218739,80.2105014769868,35.9066757549833,1.89182789744612,866628.0,40.17,33.2,603017.0,1.032,0.25,9.3,,3.875,2.83639289494958,263611.0
Marshall Islands,3.012,793.66851807,25.7,352.91552384,15.92502722,8380.0,79.0,82.0,72.0,85.0,78.0,645.0,,-1765.0,8.92603388,85.7156629279255,81.3284518768247,-3.34957664335036,37548.0,72.96,31.9,7807.0,1.07,,53.0,87.0,,-2.91921396683792,29741.0
Mali,5.892,31.4089489,4.8,9.18026044,17.20937229,1020.0,77.0,77.0,77.0,71.0,70.0,52.0,9126488.0,-46880.0,9.76166136,79.2797151051117,44.7976967244774,2.94115084753028,24478595.0,30.79,34.6,12989811.0,1.033,4.35,7.6,82.0,3.06,4.54122192381047,11488784.0
Belgium,1.6,5033.16601563,5.9,3787.68151297,1245.48456244,54840.0,97.0,97.0,97.0,96.0,98.0,9.0,5415520.0,36243.0,993.6971315,100.0,99.4861988308489,0.755750648123031,11876844.0,51.01,30.0,210933.0,1.046,10.28,0.29,81.0,5.488,0.79138569775605,11665911.0
Ireland,1.71,5462.73095703,3.6,4056.01129784,1406.71928415,77920.0,94.0,93.0,94.0,91.0,94.0,5.8,2856577.0,39059.0,662.77266951,96.0041044843285,89.3073908166857,1.35963868693502,5380257.0,64.19,32.3,1896003.0,1.054,11.7,0.14,4.0,4.369,1.81465598926847,3484254.0
Syrian Arab Republic,2.878,50.25953293,19.0,26.77650125,21.01233605,970.0,67.0,67.0,67.0,76.0,70.0,19.0,6616919.0,546494.0,21.01233741,93.8729434874618,93.9559318319375,4.46809539676654,24672760.0,70.29,41.1,10351703.0,1.053,0.2,0.13,89.0,12.962,5.56812338133909,14321057.0
"Venezuela, RB",2.131,112.7611084,8.6,41.87985935,70.75196984,,64.0,64.0,64.0,93.0,62.0,45.0,11135919.0,-105297.0,38.47580321,93.8628955693026,96.7597095990301,0.369232130679939,28405543.0,54.79,39.4,3265217.0,1.056,3.02,2.4,81.0,5.475,0.444964445346864,25140326.0
Central African Republic,6.09,35.76098633,7.6,3.77337779,22.01101844,520.0,42.0,42.0,42.0,41.0,46.0,540.0,2000171.0,-15357.0,21.65622811,38.2122671248287,14.4819824288711,3.40139844069992,5330690.0,21.83,41.3,2978257.0,1.032,1.99,98.0,81.0,5.899,4.5775349935302,2352433.0
Philippines,2.215,141.6925354,7.5,57.53314736,83.58426517,4470.0,84.0,82.0,84.0,83.0,85.0,554.0,50979290.0,-160373.0,69.12736773,93.6373567501473,81.2510265893959,0.825602488528657,115843670.0,32.62,33.8,59527428.0,1.08,6.18,27.0,86.0,2.153,1.50052162940451,56316242.0
Solomon Islands,3.8,98.67025757,12.0,72.47213478,3.59682121,2080.0,94.0,94.0,94.0,81.0,93.0,61.0,435634.0,1610.0,3.54086952,67.1538021706971,34.4924126004925,2.37078352276169,819198.0,54.98,29.8,602209.0,1.07,1.62,7.3,95.0,1.47,4.08817151525319,216989.0
St. Lucia,1.424,493.95703125,11.4,245.29783017,243.5333158,12800.0,92.0,92.0,92.0,96.0,91.0,3.9,102438.0,-7.0,211.66333843,96.8875059264097,83.3723216143083,0.255689791113258,179744.0,60.86,39.8,145043.0,1.031,9.47,0.98,67.0,10.928,0.949713250544823,34701.0
Nauru,3.531,1213.86804199,21.8,1086.26205025,38.99612848,21260.0,96.0,96.0,96.0,95.0,96.0,169.0,,-121.0,9.74905454,97.003356247305,65.9320445778152,0.604485091438176,11947.0,88.91,41.8,0.0,1.072,2.94,15.0,94.0,,0.604485091438176,11947.0
San Marino,1.096,3801.21044922,8.6,3374.68300332,426.52756826,43770.0,88.0,87.0,86.0,86.0,88.0,0.0,,37.0,426.52756686,100.0,100.0,0.344944841346899,33977.0,,,703.0,1.066,,0.0,,,0.442765139531347,33274.0
South Sudan,4.26,35.07043839,4.6,3.91716068,17.9460022,,61.0,61.0,61.0,65.0,61.0,227.0,4348731.0,15374.0,14.84345233,40.841655390804,15.747277681583,3.92792442239756,11943408.0,22.36,34.2,9368409.0,1.035,,34.0,85.0,12.709,5.63538258159784,2574999.0
Russian Federation,1.504,650.47058105,5.9,397.77517834,252.69534409,15320.0,97.0,97.0,,98.0,96.0,50.0,72516535.0,-178042.0,237.90144377,96.7955268787445,88.7074197923604,-0.203423663777625,143533851.0,57.48,44.3,35096897.0,1.058,10.42,5.5,68.0,2.527,0.0842244706528432,108436954.0
North Macedonia,1.34,469.47344971,7.4,282.84876871,186.62470339,8360.0,92.0,92.0,92.0,75.0,92.0,12.0,779211.0,-5728.0,183.50808028,97.7256237924336,97.8791714606684,-1.96896135535325,1792179.0,60.6,45.1,719237.0,1.08,4.62,0.44,89.0,13.417,-1.31708220597118,1072942.0
Bosnia and Herzegovina,1.509,546.4508667,10.3,375.53892962,162.48425261,8630.0,73.0,80.0,65.0,65.0,74.0,27.0,1355710.0,-4497.0,160.39869304,96.1237006211931,,-0.655819991673837,3164253.0,55.87,44.2,1559724.0,1.068,6.38,2.8,32.0,10.723,0.213686426566387,1604529.0
Finland,1.35,4459.9296875,6.9,3576.53564749,883.11006819,51710.0,91.0,,91.0,96.0,91.0,4.7,2898358.0,26894.0,777.09786447,100.0,99.4479650642653,0.950054489694466,5637214.0,54.93,35.9,796426.0,1.051,9.16,0.53,38.0,8.26,1.06540010368679,4840788.0
Georgia,2.021,306.46075439,6.7,125.08383912,179.75812933,8200.0,94.0,94.0,94.0,99.0,94.0,74.0,1832929.0,1745.0,143.32480396,94.4360269319349,86.5320783368937,-1.1268524654221,3673850.0,63.72,44.5,1426850.0,1.07,14.33,3.8,85.0,11.48,-0.413075351851438,2247000.0
Andorra,1.045,3021.43261719,10.1,2154.82026195,866.61239614,48870.0,99.0,98.0,98.0,99.0,99.0,7.5,,988.0,384.99845713,99.9999967920626,99.9999967920626,1.32930689449906,81938.0,48.13,31.0,10040.0,1.063,11.05,0.0,60.0,,1.29771050300546,71898.0
Nepal,2.08,53.61107254,7.7,13.30052833,33.92577679,1470.0,93.0,93.0,93.0,92.0,92.0,238.0,8435336.0,-401282.0,31.04785251,90.2863663521825,72.8801279481259,-0.146800968936231,29651054.0,27.44,36.1,23019299.0,1.052,1.36,58.0,89.0,10.706,1.94504115407114,6631755.0
Malawi,3.952,36.91519165,5.7,8.8854186,7.90612083,540.0,95.0,95.0,95.0,92.0,94.0,146.0,8601901.0,-1507.0,4.37599918,69.4648756261317,42.8038378125311,2.57641467045761,21655286.0,22.47,29.5,17627836.0,1.014,3.24,14.0,88.0,5.045,4.30106865693401,4027450.0
Belize,2.142,299.69824219,14.1,206.12044341,84.75344485,7640.0,98.0,98.0,98.0,96.0,98.0,27.0,189961.0,490.0,68.10582419,98.4005497674635,88.1985036524971,1.44077799785791,417072.0,71.16,38.0,221724.0,1.052,5.71,1.8,66.0,7.0,1.93309650958278,195348.0
Mauritius,1.4,639.18286133,20.1,281.08156849,357.09978031,12850.0,96.0,97.0,97.0,99.0,97.0,12.0,594884.0,-2787.0,301.22373909,99.9621987210459,,-0.121560785435973,1259509.0,50.23,33.1,743816.0,1.035,7.52,1.3,79.0,5.476,0.0665345698779699,515693.0
Iraq,3.48,241.73873901,13.4,119.34751688,121.10375805,6030.0,84.0,84.0,84.0,86.0,85.0,28.0,12008181.0,-17735.0,121.10376351,97.7787852249274,97.8648532741405,2.12476784890538,46042015.0,71.67,48.1,12959446.0,1.057,0.24,2.1,94.0,15.524,2.47889459041468,33082569.0
Turkmenistan,2.834,432.78118896,7.1,78.56551675,353.7762865,8390.0,99.0,99.0,99.0,99.0,99.0,45.0,2444797.0,14646.0,331.66529435,99.79292325362,99.00213592626,1.75064111797897,7494498.0,55.33,39.0,3408198.0,1.068,2.93,10.0,83.0,4.304,2.71078743440228,4086300.0
"Congo, Rep.",4.38,58.42106628,8.1,25.61217073,28.71329844,2410.0,79.0,79.0,79.0,73.0,78.0,373.0,2563444.0,-2491.0,24.63735248,73.5958698078761,20.3642631107744,2.39829082784283,6332961.0,23.78,39.8,1922814.0,1.025,6.4,52.0,72.0,19.694,3.04658907824074,4410147.0
Singapore,1.14,2893.78222656,11.4,1512.06102848,1381.72116312,74750.0,97.0,96.0,96.0,96.0,97.0,42.0,3722265.0,20011.0,831.53683581,100.0,100.0,1.99449365639324,6036860.0,38.49,31.5,0.0,1.059,1.87,0.42,79.0,3.182,1.99449365639326,6036860.0
Saudi Arabia,2.49,1504.55249023,23.1,1110.1483721,394.40417786,35570.0,96.0,96.0,96.0,95.0,97.0,11.0,17168015.0,122170.0,171.58027356,98.6603423033735,95.3235759880439,4.63120232685885,35300280.0,71.08,34.0,5234679.0,1.051,0.0,0.64,90.0,3.896,4.89101589915873,30065601.0
Morocco,2.342,177.84625244,11.9,72.03907914,104.49820851,3760.0,99.0,99.0,99.0,99.0,99.0,97.0,12475182.0,-46802.0,82.13205835,84.9818507597581,86.3282340120945,0.972827595296714,38081173.0,53.36,35.3,13083549.0,1.047,0.49,7.9,89.0,8.943,1.77121669466128,24997624.0
Austria,1.46,5263.390625,5.4,3941.44858584,1321.94216651,54160.0,85.0,85.0,85.0,95.0,85.0,6.0,4768178.0,8813.0,942.94692249,99.9999965908061,99.9727098850505,0.510327486072338,9178482.0,44.8,33.8,3688006.0,1.054,11.97,0.45,74.0,5.439,0.994625653348628,5490476.0
Uganda,4.744,33.36559677,2.2,5.04379338,14.3016351,1020.0,93.0,93.0,93.0,87.0,92.0,200.0,22829059.0,-117924.0,12.76577324,54.3266872423468,20.4080904532095,2.75373170025335,50015092.0,21.26,32.5,36316458.0,1.028,12.21,16.0,82.0,2.941,5.03595842729182,13698634.0
Mozambique,5.016,41.01906586,3.0,9.47888607,6.39308224,550.0,85.0,85.0,85.0,83.0,84.0,361.0,15172714.0,-38940.0,3.9829635,57.5753680766886,33.350311214661,2.91994049442347,34631766.0,24.59,38.6,21012478.0,1.02,2.03,19.0,94.0,3.527,4.38770545499138,13619288.0
Sierra Leone,4.192,48.13619995,4.8,6.55219883,26.09004208,840.0,95.0,95.0,95.0,93.0,95.0,295.0,2863312.0,-11000.0,25.45915808,61.9298092529535,20.0997387688789,2.1226891332086,8642022.0,21.75,40.8,4772211.0,1.033,0.26,31.0,88.0,3.126,3.19814366026277,3869811.0
Montenegro,1.8,754.77441406,10.7,459.16769135,295.60670999,12020.0,85.0,62.0,85.0,33.0,85.0,15.0,245288.0,-1686.0,291.01301208,98.6814038394913,97.5022993595498,0.0484222687758048,623831.0,49.09,45.1,194386.0,1.077,10.34,0.2,95.0,14.1,0.54052608035804,429445.0
Libya,2.539,552.73168945,15.8,394.07827253,154.85971876,6310.0,73.0,73.0,73.0,73.0,73.0,59.0,2584879.0,3448.0,154.85970248,99.8915237987819,92.1060022089555,1.02629935747641,7381023.0,66.71,42.7,1335448.0,1.057,0.008,12.0,70.0,18.615,1.39447574815819,6045575.0
Seychelles,2.36,692.09197998,9.3,504.03373145,188.05820109,17460.0,99.0,99.0,99.0,99.0,99.0,14.0,,1747.0,173.44788484,96.2933996249077,100.0,1.31136094801067,121354.0,59.39,44.3,49461.0,1.036,11.99,0.87,57.0,,2.02756642018783,71893.0
Mexico,2.02,549.72601318,16.4,270.28539045,279.44058975,12800.0,82.0,56.0,82.0,73.0,82.0,23.0,60958888.0,-104581.0,232.43619471,99.1153530172831,90.7765580654672,0.860515443690537,130861007.0,72.05,32.1,23735569.0,1.039,5.72,1.8,72.0,2.711,1.20314137259482,107125438.0
Guinea,4.576,42.16910172,4.6,9.49816282,28.11817231,1470.0,47.0,47.0,47.0,47.0,48.0,176.0,4534264.0,-12024.0,24.9706137,67.6752472334276,27.606397594017,2.39595802290484,14754785.0,26.31,40.9,9071684.0,1.045,0.47,19.0,89.0,5.23,3.52389488078414,5683101.0
Jamaica,1.39,341.90777588,12.5,223.090646,113.37266563,6490.0,96.0,96.0,96.0,94.0,96.0,3.2,1570210.0,-10506.0,56.2077952,90.997352554366,86.6316041352183,-0.0215180207209529,2839175.0,59.08,46.3,1199211.0,1.04,3.6,0.24,66.0,4.885,0.645507683426489,1639964.0
"Gambia, The",4.33,23.21861267,5.5,9.50421633,7.39377799,890.0,88.0,88.0,88.0,85.0,88.0,158.0,783147.0,-2989.0,4.71310516,83.8990207770481,47.2014093324921,2.27730257212036,2759988.0,37.51,37.6,963788.0,1.032,1.11,19.0,84.0,6.496,3.21589674058409,1796200.0
Senegal,4.1,64.33670807,3.8,15.13759586,36.79642283,1680.0,96.0,95.0,95.0,86.0,97.0,117.0,5763236.0,-10307.0,31.36196091,82.6975294805221,57.0490341820529,2.32058603495657,18501984.0,28.66,40.5,9236190.0,1.031,0.41,16.0,91.0,2.992,3.3260265526015,9265794.0
Chad,6.412,30.23999405,7.3,4.59026275,19.8741655,970.0,50.0,50.0,50.0,40.0,46.0,142.0,6599919.0,204040.0,19.26193657,50.4980643454126,12.2940188961564,4.94853027382671,20299123.0,19.77,37.9,15287067.0,1.042,3.73,22.0,80.0,1.088,6.27353263233479,5012056.0
"Egypt, Arab Rep.",2.87,142.69670105,22.4,40.24599244,100.9704648,3510.0,95.0,95.0,95.0,95.0,95.0,12.0,33748776.0,123884.0,89.19465981,98.7614152226307,97.2005582635653,1.73324205302065,116538258.0,72.56,38.2,66126138.0,1.053,0.15,0.43,87.0,7.198,2.09916123919195,50412120.0
Albania,1.395,366.34014893,10.6,156.35488737,207.55073894,8690.0,99.0,99.0,99.0,95.0,99.0,16.0,1369710.0,-24472.0,206.66062667,94.7582247174548,99.1830688799465,-1.14842353492312,2714617.0,60.93,41.8,939800.0,1.081,5.11,0.29,88.0,10.25,0.0471709154127424,1774817.0
Cuba,1.54,1023.39715576,9.4,911.00330121,111.04025383,9010.0,99.0,99.0,99.0,99.0,99.0,6.5,4858882.0,-22356.0,111.04024762,94.1484823370466,90.6561903272549,-0.364986968189241,10979783.0,53.07,39.9,2453213.0,1.075,6.01,0.31,82.0,1.53,-0.192283968762651,8526570.0
"Iran, Islamic Rep.",1.766,225.23252869,9.0,100.15821384,125.04621535,4660.0,99.0,99.0,99.0,99.0,99.0,13.0,28574661.0,190156.0,87.58752064,97.3236128720162,90.0210873435845,1.05286922170537,91567738.0,58.63,26.2,20421437.0,1.056,0.7,1.0,85.0,9.192,1.62206783443733,71146301.0
Spain,1.23,2713.62255859,9.7,1913.46013834,800.16249627,33410.0,95.0,95.0,96.0,98.0,95.0,9.9,24386307.0,111674.0,593.13454905,99.9258382744694,99.9193565738972,0.945355767423027,48807137.0,51.29,27.2,8881923.0,1.059,10.91,0.47,47.0,11.394,1.25143809575998,39925214.0
Tanzania,4.866,39.98176956,9.8,16.20863437,9.05018071,1200.0,91.0,91.0,91.0,89.0,87.0,237.0,32982660.0,-29865.0,8.72763031,56.5658481263889,29.099388976813,2.87426672866542,68560157.0,29.61,33.2,42414056.0,1.03,10.36,35.0,93.0,2.576,4.79900590670818,26146101.0
Malaysia,1.777,419.32568359,21.1,219.4521194,199.87356525,11670.0,98.0,97.0,98.0,97.0,98.0,92.0,18264000.0,174770.0,151.2199859,97.0903674239334,95.8802336493616,1.22058891015438,35557673.0,52.41,40.8,7395640.0,1.067,0.76,5.1,80.0,3.826,1.83483804898449,28162033.0
Honduras,2.611,183.75006104,5.0,72.48589623,106.39773856,3020.0,88.0,88.0,88.0,89.0,88.0,31.0,4295619.0,-4821.0,96.14970545,94.6068475212683,81.952553182089,1.68469129774697,10825703.0,61.74,33.9,4241727.0,1.051,3.17,4.6,89.0,6.061,2.68609858085011,6583976.0
Azerbaijan,1.81,199.25746155,10.2,50.94737249,147.73052458,7310.0,94.0,94.0,94.0,98.0,96.0,60.0,5019885.0,10864.0,142.15307752,95.667747770716,96.1290294533043,0.48035128110511,10202850.0,60.28,41.0,4285503.0,1.134,1.97,5.9,84.0,5.594,1.20716979468198,5917347.0
Benin,4.9,28.372015,8.1,3.52190993,16.50198928,1430.0,72.0,72.0,72.0,58.0,69.0,55.0,6397139.0,-7725.0,14.43934211,66.672267150753,18.6298545928192,2.46175361912328,14462724.0,28.53,31.2,7134606.0,1.04,8.35,7.8,89.0,1.722,3.59108680283364,7328118.0
Angola,5.442,64.61397552,4.9,29.33039764,32.73193872,2220.0,57.0,57.0,57.0,51.0,56.0,351.0,15960547.0,-2629.0,21.3595956,56.8830374949169,51.3936226824603,3.04419972245653,37885849.0,30.22,38.7,11638154.0,1.026,6.17,53.0,69.0,14.464,3.9038199496298,26247695.0
Indonesia,2.205,118.22380829,11.3,57.41171538,60.14313629,4910.0,85.0,85.0,85.0,88.0,85.0,312.0,143143940.0,-38469.0,40.8463409,91.8137421547406,82.0727007179025,0.813871513351669,283487931.0,34.12,40.3,115651736.0,1.06,0.11,34.0,83.0,3.3,1.88710578487195,167836195.0
Dominica,1.504,465.63766479,12.9,300.15431803,162.13516817,10220.0,99.0,99.0,99.0,92.0,99.0,16.0,,-200.0,157.66325304,,,-0.459632350460969,66205.0,57.14,47.7,18331.0,1.036,6.1,3.0,,,-0.0355035768361578,47874.0
Bulgaria,1.79,697.8961792,7.4,412.84511231,285.05106225,15320.0,93.0,93.0,92.0,95.0,93.0,23.0,3123797.0,524.0,263.77360256,99.1448780003009,86.0247237413144,-0.0345978837303822,6444366.0,51.39,45.2,1479820.0,1.06,11.92,1.4,82.0,4.104,0.402497225743077,4964546.0
Pakistan,3.81,36.01374817,31.4,11.92729539,21.45365495,1430.0,84.0,84.0,84.0,81.0,84.0,263.0,83643815.0,-1401173.0,20.19759608,90.1906503511874,65.3899355736604,1.50959876314033,251269164.0,49.86,43.2,154869749.0,1.055,0.1,19.0,93.0,5.472,2.36033369009023,96399415.0
West Bank and Gaza,3.591,317.45007324,15.5,126.55153328,153.53097593,3080.0,99.0,99.0,99.0,99.0,99.0,0.53,1254446.0,-23145.0,122.84229516,97.5865067324122,98.153109880908,2.36027908447521,5289152.0,68.62,39.1,1170119.0,1.051,,0.06,86.0,25.34,2.73979221618127,4119033.0
Samoa,4.061,242.9050293,25.4,185.94863899,28.87890028,4650.0,68.0,68.0,68.0,96.0,68.0,9.9,57239.0,-2754.0,27.10244319,96.4228349677627,96.8442592798373,0.62390639530784,218019.0,86.93,38.3,180040.0,1.076,2.39,0.86,89.0,4.551,0.121192975103533,37979.0
Sao Tome and Principe,3.9,106.86884308,12.1,43.5287584,20.22685731,2770.0,95.0,95.0,95.0,95.0,95.0,114.0,34471.0,-604.0,18.15834616,77.335780426244,45.1201003296246,2.0004655038868,235536.0,40.08,45.1,54140.0,1.027,5.01,19.0,70.0,9.17,2.79963726734165,181396.0
Somalia,6.56,12.87221336,5.8,0.70091391,5.9587302,600.0,42.0,42.0,42.0,46.0,47.0,258.0,3439353.0,26859.0,5.84477786,54.9344082547372,38.2309061647547,3.48215481810475,19009151.0,32.34,36.1,9786101.0,1.044,0.0,66.0,92.0,18.861,4.72441060423926,9223050.0
St. Kitts and Nevis,1.568,1223.83544922,13.8,602.80614148,621.02930425,22310.0,97.0,97.0,97.0,97.0,97.0,4.9,,-7.0,567.46761217,,,0.181622041143753,46843.0,73.96,45.1,32218.0,1.037,6.34,1.9,100.0,,0.582892101254693,14625.0
Eswatini,2.925,320.05084229,7.9,167.95304845,77.66098297,3580.0,90.0,90.0,90.0,81.0,89.0,363.0,390566.0,-6754.0,29.49903937,70.4275345963468,64.5214314372907,0.995913343966098,1242822.0,54.53,42.5,931955.0,1.03,8.09,22.0,86.0,34.4,1.89156959316136,310867.0
Liberia,4.257,51.1932373,9.2,8.28228745,30.28153908,760.0,70.0,70.0,70.0,68.0,69.0,308.0,2606936.0,-7779.0,27.9892619,74.1609602963714,20.7619736101479,2.15725346515291,5612817.0,34.95,39.4,2577574.0,1.039,3.64,56.0,75.0,2.882,3.10482398442784,3035243.0
Puerto Rico (US),0.982,,10.9,,,25930.0,,,,,,1.3,1151595.0,11561.0,,100.0,100.0,-0.0155140706220036,3203295.0,72.13,42.6,202961.0,1.053,,0.16,83.0,5.472,0.0164995243011451,3000334.0
Madagascar,4.221,15.50084877,4.6,3.41221107,6.16927319,510.0,70.0,70.0,70.0,60.0,69.0,233.0,16519381.0,-1795.0,5.30511553,51.1722061354795,13.1693371507898,2.43524760129506,31964956.0,15.19,36.9,18785485.0,1.039,1.02,44.0,82.0,3.012,4.08591552757813,13179471.0
Latvia,1.61,1183.1151123,7.1,708.17818715,471.79322302,21930.0,99.0,99.0,99.0,99.0,99.0,24.0,954883.0,-2225.0,415.33261892,98.7382545669579,92.4131252688765,-0.802381703529138,1862441.0,57.91,43.9,580802.0,1.069,13.09,3.4,,6.72,-0.592868278583368,1281639.0
New Zealand,1.72,4059.05639648,6.7,3069.59602274,989.46021245,46280.0,92.0,92.0,91.0,92.0,92.0,7.2,3124165.0,18766.0,492.22434033,100.0,100.0,1.76694727879595,5338500.0,66.5,30.9,689147.0,1.052,9.89,0.26,83.0,4.869,1.88873790729625,4649353.0
Eritrea,3.997,28.42930794,4.4,4.53627948,13.20276213,,95.0,95.0,95.0,93.0,95.0,86.0,1709561.0,-12696.0,13.20276233,,,1.86168851424672,3535603.0,15.46,23.7,1983084.0,1.032,1.23,16.0,93.0,5.553,3.33915208683711,1552519.0
Belarus,1.382,400.11621094,5.1,281.60586919,117.95185946,8240.0,98.0,97.0,91.0,98.0,98.0,29.0,4817451.0,-3119.0,102.78998428,98.3919868544727,99.3407614255289,-0.48696006725267,9133712.0,54.91,49.2,1723988.0,1.058,10.9,2.4,89.0,3.361,-0.000107966176351525,7409724.0
Guatemala,2.593,278.59024048,13.2,107.04856274,169.12584506,5780.0,88.0,88.0,88.0,90.0,88.0,26.0,7575261.0,-7725.0,155.9803897,93.5077090807793,68.2436687072873,1.54129399660934,18406359.0,60.9,32.2,8551226.0,1.038,1.63,2.1,85.0,2.219,2.37401466688263,9855133.0
Kuwait,2.082,1643.16491699,25.6,1448.41896689,194.7459563,40250.0,92.0,92.0,92.0,97.0,97.0,20.0,3002559.0,61624.0,176.15658044,100.0,100.0,2.45127885912436,4973861.0,77.65,40.5,0.0,1.05,0.0,0.39,74.0,2.144,2.45127885912436,4973861.0
Armenia,1.6,533.69952393,7.7,66.20586604,462.18191385,7780.0,92.0,92.0,92.0,95.0,94.0,26.0,1510047.0,-29966.0,452.54680898,99.9281719305937,93.8578716530954,2.30761515133256,3033500.0,54.07,47.3,1094214.0,1.104,4.98,1.2,82.0,13.329,2.60526067446792,1939286.0
