Country,"Fertility rate, total (births per woman)",Current health expenditure per capita (current US$),Diabetes prevalence (% of population ages 20 to 79),Domestic general government health expenditure per capita (current US$),Domestic private health expenditure per capita (current US$),"GNI per capita, Atlas method (current US$)","Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, Hib3 (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Immunization, Pol3 (% of one-year-old children)","Incidence of tuberculosis (per 100,000 people)","Labor force, total",Net migration,Out-of-pocket expenditure per capita (current US$),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),Population growth (annual %),"Population, total",Prevalence of overweight (% of adults),Prevalence of hypertension (% of adults ages 30-79),Rural population,Sex ratio at birth (male births per female births),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Tuberculosis death rate (per 100,000 people)",Tuberculosis treatment success rate (% of new cases),"Unemployment, total (% of total labor force)",Urban population growth (annual %),Urban population
Bahrain,1.843,1030.26379395,22.1,600.37062918,429.89315973,28810.0,99.0,99.0,99.0,99.0,99.0,14.0,913340.0,22699.0,308.8664327,99.921837339959,100.0,0.733546811160036,1588670.0,67.65,38.7,158883.0,1.04,1.58,0.51,17.0,1.102,0.878100134989872,1429787.0
Chile,1.43,1348.99401855,12.2,691.55450938,657.43959153,15750.0,96.0,96.0,96.0,95.0,96.0,17.0,10088445.0,58316.0,436.28772146,100.0,100.0,0.537425495656651,19764771.0,76.21,36.1,2348845.0,1.041,6.75,1.6,74.0,9.056,0.655522845916899,17415926.0
Slovak Republic,1.57,1342.07580566,7.1,1057.76821277,284.30761112,23900.0,97.0,97.0,97.0,96.0,97.0,4.5,2779407.0,-21027.0,257.1331659,99.7878178521954,97.5318448286994,-0.0861108401600769,5422069.0,59.09,42.7,2484826.0,1.053,10.48,0.27,94.0,5.234,0.181900387308457,2937243.0
Viet Nam,1.943,171.15296936,3.4,69.52231544,99.95200594,4490.0,89.0,89.0,89.0,95.0,89.0,176.0,57133476.0,-59645.0,77.21960397,95.9890536474813,86.6378024979776,0.631267006487247,100987686.0,15.41,29.7,60395686.0,1.115,9.34,9.8,91.0,1.431,2.42610658649119,40592000.0
Estonia,1.66,1599.3503418,6.9,1189.42264281,409.59566706,28700.0,91.0,91.0,91.0,88.0,91.0,13.0,756167.0,-7742.0,382.63787842,99.9872873090016,99.0771583771511,0.123984799303149,1371986.0,56.15,40.2,411335.0,1.061,11.26,1.2,76.0,7.828,0.422898450478426,960651.0
Argentina,1.882,1011.08013916,14.0,612.39601799,396.38448478,13440.0,83.0,83.0,83.0,86.0,83.0,29.0,22285744.0,3454.0,242.06773774,,,0.345829819817895,45696159.0,66.05,47.5,3391112.0,1.052,8.04,1.4,47.0,7.876,0.471206008710255,42305047.0
"Korea, Dem. People's Rep.",1.825,,9.9,,,,97.0,97.0,97.0,98.0,98.0,513.0,17637357.0,-2473.0,,93.8236859124211,84.6194906759029,0.304699893187806,26498823.0,33.92,26.5,9671275.0,1.06,4.29,,84.0,2.859,0.77824333955038,16827548.0
Panama,2.288,1339.45153809,11.1,760.01072943,578.33296464,17960.0,88.0,88.0,88.0,97.0,88.0,37.0,2205785.0,6706.0,503.89064829,94.182498815948,83.3785517603304,1.26624987466078,4515577.0,68.97,36.1,1359731.0,1.059,6.6,4.8,83.0,6.518,1.80567728791701,3155846.0
Zimbabwe,3.748,55.10725403,1.5,7.86121479,13.1153355,2260.0,90.0,90.0,90.0,85.0,90.0,199.0,6386440.0,-60528.0,5.00559626,63.0949538019092,35.7743358079873,1.7804822981922,16634373.0,32.78,42.3,11199923.0,1.023,3.63,11.0,84.0,8.554,2.24990987115322,5434450.0
Australia,1.657,5529.19482422,7.4,4079.73088641,1449.4638642,62550.0,95.0,95.0,95.0,94.0,95.0,6.8,14911672.0,138510.0,813.15610779,99.9698543658953,100.0,2.05004113352233,27204809.0,63.0,29.3,3604637.0,1.058,10.09,0.18,86.0,4.072,2.20347308455882,23600172.0
"Yemen, Rep.",4.603,43.06481552,5.5,3.55895343,31.98451715,,60.0,60.0,60.0,54.0,59.0,48.0,7847788.0,-10482.0,31.56484478,59.7165798384097,53.6269388377599,2.98210396880689,40583164.0,35.22,29.3,24156317.0,1.059,0.028,6.5,85.0,17.086,4.59094394149364,16426847.0
Niger,6.537,31.89424324,4.1,11.38316508,15.64759629,660.0,81.0,81.0,81.0,79.0,81.0,84.0,10486041.0,-4041.0,14.70174376,47.3666848215679,14.7900382805354,3.28101480132484,27032412.0,16.91,41.5,22374187.0,1.04,0.13,16.0,83.0,0.355,4.31933743088246,4658225.0
Luxembourg,1.34,6221.73876953,5.8,5342.75189951,796.15092399,91470.0,99.0,96.0,99.0,99.0,99.0,8.9,349964.0,5677.0,596.5227216,99.8767046171651,97.5942628469242,1.67946888266941,677717.0,51.59,30.5,52415.0,1.048,11.53,0.23,36.0,5.935,1.88344441893605,625302.0
Switzerland,1.48,9646.91308594,5.3,3232.68217,6414.23119786,95900.0,96.0,69.0,95.0,95.0,96.0,5.4,5152970.0,40099.0,2112.32791814,99.9999987245773,99.899872396117,1.62940120193868,9034102.0,40.88,21.9,2319325.0,1.051,10.4,0.1,68.0,4.11,1.79771511632462,6714777.0
Barbados,1.715,1168.11938477,13.2,524.24959818,633.49704138,23660.0,90.0,90.0,90.0,92.0,91.0,0.0,147247.0,-70.0,545.43747375,98.5144504186196,98.0924623115578,0.0463878564204179,282467.0,65.81,41.8,193354.0,1.035,9.47,0.87,,7.529,0.43747996245802,89113.0
Lebanon,2.327,779.60778809,12.3,384.29187533,368.84372018,8630.0,76.0,74.0,78.0,81.0,73.0,15.0,2042509.0,-17267.0,239.42785047,92.6,99.0673793809694,0.560805065461567,5805962.0,64.29,38.1,603646.0,1.052,1.48,1.0,80.0,11.301,0.751831740405999,5202316.0
